monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,signup_year,signup_month,low_usage_flag,inactive_flag,payment_issue_flag,fee_per_usage_hour,high_support_flag,tickets_per_tenure,usage_per_tenure,plan_type_Basic,plan_type_Premium,plan_type_Standard
-0.17411723255185677,-1.4197933638121034,0.8277743855524275,-0.8966381564271386,-1.2211522945942463,-0.02301815945118923,-1.0253204627248194,-1.0454800378130154,2.1579077034399914,-0.9831771972687061,0.42448754203198746,0.924933558081943,1.1578634884515693,0.9654385038919137,-0.4582928011089552,0.0,0.0,1.0
-1.1491737348422544,-0.9985733944149785,-0.7062190983254941,0.8860270539842137,-0.15759170858448243,1.6564827255867238,0.9753048303966019,-0.1742466729688358,-0.46341184954568143,1.0171106518520039,0.42448754203198746,-0.3644135861981491,-0.8636596714326981,-0.4467614789778726,-0.5059055571599026,1.0,0.0,0.0
-1.1491737348422544,-0.01572679915502068,-1.0897174692949745,-1.4908598932309227,1.5827801594314947,-0.02301815945118923,0.9753048303966019,0.6969866918753437,-0.46341184954568143,-0.9831771972687061,-2.355781739113193,-0.6171307062181531,-0.8636596714326981,-0.6045072217452423,-0.48550009028092506,1.0,0.0,0.0
-0.17411723255185677,0.22296451683668322,0.44427601458294713,0.8860270539842137,0.6159068994226186,-1.3666188674815196,-1.0253204627248194,-0.7550689161982888,-0.46341184954568143,-0.9831771972687061,0.42448754203198746,-0.4243866015030283,1.1578634884515693,-0.29306049884556357,-0.361759246258408,0.0,0.0,1.0
-1.1491737348422544,0.20892385119011245,1.211272756521908,-1.4908598932309227,-0.8344029905906958,1.15263246007535,-1.0253204627248194,1.2778089351047968,-0.46341184954568143,1.0171106518520039,-2.355781739113193,-0.6426368496858493,1.1578634884515693,0.5475147178588822,0.09821993195406631,1.0,0.0,0.0
1.2884675208837397,0.658225151880379,0.8277743855524275,-0.8966381564271386,0.22915759541906808,-0.6388351506317573,0.9753048303966019,0.1161644486458907,-0.46341184954568143,-0.9831771972687061,0.42448754203198746,-0.22283979703917633,1.1578634884515693,-0.14083034148964038,-0.2134271985612257,0.0,1.0,0.0
-1.1491737348422544,0.7986318083460872,-0.32272072735601365,0.29180531718042957,-0.25427903458537005,1.4885326370829326,0.9753048303966019,-0.7550689161982888,-0.46341184954568143,1.0171106518520039,0.42448754203198746,-0.6897776684163234,-0.8636596714326981,-0.32303932778777866,-0.03337896139377752,1.0,0.0,0.0
-1.1491737348422544,0.3493305076558207,0.44427601458294713,1.4802487907879978,0.3258449214199557,-0.5828517877971603,-1.0253204627248194,1.5682200567195232,-0.46341184954568143,-0.9831771972687061,0.42448754203198746,-0.6560509037961468,1.1578634884515693,-0.24557850269485032,-0.2932746776528766,1.0,0.0,0.0
-0.17411723255185677,1.346217768562349,-0.7062190983254941,-0.3024164196233545,-0.9310903165915834,-1.3666188674815196,-1.0253204627248194,0.6969866918753437,-0.46341184954568143,-0.9831771972687061,0.42448754203198746,-0.5735749370236071,-0.8636596714326981,-0.27849935335934484,0.6742106106742936,0.0,0.0,1.0
1.2884675208837397,-0.872207403595841,-0.7062190983254941,-0.3024164196233545,0.03578294341729282,0.2568986547217963,0.9753048303966019,0.4065755702606172,-0.46341184954568143,1.0171106518520039,0.42448754203198746,0.6828334739485534,-0.8636596714326981,-0.46779424468018854,-0.49808346152296123,0.0,1.0,0.0
